Tarih,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Şirket,Write Off,Research And Development,Impairment Of Capital Assets
2024-03-31,0.0,0.25,1185341000.0,,,1938650000.0,952639000.0,14857768000.0,1185341000.0,232702000.0,-705830000.0,969183000.0,263353000.0,1938650000.0,1938650000.0,16791885000.0,,6190328000.0,4560000000.0,4560000000.0,0.4251,0.4251,1938650000.0,1938650000.0,0.0,1938650000.0,227657000.0,1710993000.0,1710993000.0,-2447474000.0,-736481000.0,-4763331000.0,,,,-705830000.0,,969183000.0,263353000.0,4115726000.0,1934117000.0,1181855000.0,,,1896511000.0,467339000.0,1429172000.0,,6049843000.0,14857768000.0,20907611000.0,20907611000.0,ASELS,,413244000.0,
2023-12-31,,,,305461000.0,305461000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,293338000.0,,,,,,,,,,,,,,,,,,,,ASELS,,,
2023-09-30,,,,234461000.0,234461000.0,,,,,,,,,,,,,,4560000000.0,4560000000.0,0.562,0.562,,,,,,,,,,,234461000.0,,,,,,,,,,,,,,,,,,,,ASELS,-234461000.0,,
2025-03-31,-116432800.0,0.4,5638674000.0,-291082000.0,-291082000.0,426389000.0,2368275000.0,49743369000.0,5347592000.0,2979317000.0,-462662000.0,2557604000.0,2101517000.0,601038200.0,426389000.0,51939263000.0,,1897402000.0,,,,,426389000.0,426389000.0,0.0,426389000.0,-21515000.0,447904000.0,447904000.0,-26191000.0,421713000.0,274151000.0,29687000.0,-29687000.0,,-462662000.0,6575000.0,2557604000.0,2101517000.0,1605364000.0,2195894000.0,371885000.0,221325000.0,221325000.0,890131000.0,257474000.0,632657000.0,,3801258000.0,49743369000.0,53544627000.0,53544627000.0,EREGL,,83753000.0,
2024-12-31,985840093.454943,0.184004,3843845000.0,5357714000.0,5357714000.0,2693878000.0,2521328000.0,52703416000.0,9201559000.0,6680231000.0,-1441511000.0,3111431000.0,1697259000.0,-1677995906.545057,2693878000.0,55012111000.0,,5202690000.0,,,,,2693878000.0,2693878000.0,0.0,2693878000.0,-218249000.0,2912127000.0,2912127000.0,656673000.0,3568800000.0,99324000.0,5086638000.0,-4952612000.0,,-1441511000.0,27339000.0,3111431000.0,1697259000.0,101066000.0,2308695000.0,279411000.0,226912000.0,226912000.0,1070549000.0,298846000.0,771703000.0,,2409761000.0,52703416000.0,55113177000.0,55113177000.0,EREGL,,116265000.0,
2024-09-30,-9189500.0,0.25,5760704000.0,-36758000.0,-36758000.0,800675000.0,2205162000.0,44399886000.0,5723946000.0,3518784000.0,-1535216000.0,3149275000.0,1653524000.0,828243500.0,800675000.0,46496229000.0,,2485837000.0,6998907343.0,6998907343.0,0.1144,0.1144,800675000.0,800675000.0,0.0,800675000.0,-91002000.0,891677000.0,891677000.0,-522168000.0,369509000.0,-134220000.0,65408000.0,-65408000.0,,-1535216000.0,39465000.0,3149275000.0,1653524000.0,2232480000.0,2096343000.0,262153000.0,223888000.0,223888000.0,887694000.0,252029000.0,635665000.0,,4328823000.0,44399886000.0,48728709000.0,48728709000.0,EREGL,,77618000.0,
2024-06-30,2890500.0,0.25,7997500000.0,11562000.0,11562000.0,4385872000.0,2122307000.0,44233694000.0,8009062000.0,5886755000.0,-1581993000.0,2665411000.0,1098608000.0,4377200500.0,4385872000.0,46140164000.0,,4556860000.0,7000035113.0,7000035113.0,0.62655,0.62655,4385872000.0,4385872000.0,0.0,4385872000.0,-156432000.0,4542304000.0,4542304000.0,-1320960000.0,3221344000.0,-159360000.0,74887000.0,-74887000.0,,-1581993000.0,15190000.0,2665411000.0,1098608000.0,4330257000.0,1906470000.0,165862000.0,215697000.0,215697000.0,841042000.0,235606000.0,605436000.0,,6236727000.0,44233694000.0,50470421000.0,50470421000.0,EREGL,,77078000.0,
2024-03-31,270744413.805655,0.081056,7468179000.0,3340230000.0,3340230000.0,5600923000.0,1988437000.0,42718340000.0,10808409000.0,8819972000.0,-1860066000.0,2457304000.0,603250000.0,2531437413.805655,5600923000.0,44322865000.0,,8810833000.0,6721779778.0,6721779778.0,0.83325,0.83325,5600923000.0,5600923000.0,0.0,5600923000.0,-246015000.0,5846938000.0,5846938000.0,515730000.0,6362668000.0,-49272000.0,3312354000.0,-3312354000.0,,-1860066000.0,6012000.0,2457304000.0,603250000.0,5424768000.0,1604525000.0,255048000.0,197468000.0,197468000.0,651814000.0,206151000.0,445663000.0,,7029293000.0,42718340000.0,49747633000.0,49747633000.0,EREGL,,64630000.0,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EREGL,,,-112896000.0
2023-09-30,,,,,,,,,,,,,,,,,,,7011525424.0,7011525424.0,0.0059,0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EREGL,,,3559000.0
